pais,iq_datapandas_2019,iq_iit_2025,iq_worlddata_2024,iq_media_simple,iq_ponderado_3fuentes,w_datapandas,w_iit,w_worlddata,url_datapandas,url_iit,url_worlddata,metodo
Cuba,83.9,96.02,90,89.97,93.86,0.071429,0.714286,0.214286,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=,Ponderación por recencia⋮independencia: IIT=0.714⋮WD=0.214⋮DP=0.071
Jamaica,75.08,75.1,83,77.73,76.79,0.071429,0.714286,0.214286,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=,Ponderación por recencia⋮independencia: IIT=0.714⋮WD=0.214⋮DP=0.071
Puerto Rico,81.99,90.94,82,84.98,88.38,0.071429,0.714286,0.214286,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=,Ponderación por recencia⋮independencia: IIT=0.714⋮WD=0.214⋮DP=0.071
República Dominicana,82.05,90.06,80,84.04,87.33,0.071429,0.714286,0.214286,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=,Ponderación por recencia⋮independencia: IIT=0.714⋮WD=0.214⋮DP=0.071
Trinidad y Tobago,85.63,94.79,88,89.47,92.68,0.071429,0.714286,0.214286,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=,Ponderación por recencia⋮independencia: IIT=0.714⋮WD=0.214⋮DP=0.071
