pais,iq_datapandas_2019,iq_iit_2025,iq_worlddata_2024,iq_promedio_3fuentes,url_datapandas,url_iit,url_worlddata
Cuba,83.9,96.02,90,89.97,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=
Jamaica,75.08,75.1,83,77.73,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=
Puerto Rico,81.99,90.94,82,84.98,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=
República Dominicana,82.05,90.06,80,84.04,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=
Trinidad y Tobago,85.63,94.79,88,89.47,https://www.datapandas.org/ranking/average-iq-by-country,https://international-iq-test.com/en/test/IQ_by_country,https://www.worlddata.info/iq-by-country.php?full=
